Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Learning Confluence (2017),"Confluence is a tool for creating, organizing, sharing, and collaborating on work. It can be installed on your desktop or accessed from the cloud, making it a great solution for all types of teams—including remote employees and mobile users. In this course, instructor David Rivers explores how to configure and use Confluence to manage business and project data. He dives into creating pages and blogs, adjusting page layouts, adding content, enhancing your spaces with navigation, and sharing as well as restricting access to information. Start watching and learn how to use Confluence for project management, document retention, collaboration, and more.",Course,2019-06-10 14:32 UTC,2019-06-10 14:29 UTC,false,N/A,
Managing High Potentials,"Managing high potentials gives you an opportunity to pave the way for some of your organization's strongest talent. High potentials are employees who are most likely to be promoted to—and succeed in—leadership roles. By strategically helping these professionals to grow and expand their responsibilities, you can have a significant impact on the future or your organization. Leadership expert Sara Canaday helps you understand the mindset and motivations of high potentials so you can meet their expectations and provide them with the appropriate level of support and development.",Course,2018-08-08 16:24 UTC,N/A,false,N/A,
Starting a Business with Family and Friends,"What do Tata Group, Walmart, Samsung, and Porsche have in common? These companies are all examples of a successful family business. With the right idea and a good business plan, you too can start your own family-run business.  In this course, entrepreneur Bob McGannon shares his insight and advice on starting a business with family and friends (drawing from experience with his own 14+ year business). He begins with the importance of having an exit strategy and clear roles, governance, and ownership before you start the business. He also covers critical topics such as setting up business finances and managing working relationships, and provides troubleshooting tips and advice for keeping everything running smoothly.",Course,N/A,N/A,true,N/A,
Learning ServiceNow,"Successful IT teams solve problems and execute tasks while adhering to established company processes. ServiceNow takes some of the guesswork out of working with complex IT procedures by allowing professionals to leverage digital workflows. This popular platform uses the power of machine learning to help IT teams ensure that each step in an essential activity is happening in the correct sequence. In this course, learn how to use ServiceNow to manage IT tasks at your organization.<br/><br/>Instructor Jim Kerrigan shows individuals responsible for owning tasks through fulfillment how to use the platform's task management functions. Jim goes over how ServiceNow tracks the life cycle of help desk tickets and fulfillment requests. He helps you get acquainted with the user interface, as well as how to navigate the platform's applications and modules. Plus, learn how to tame and personalize lists of records, create reports, and find the tasks that are assigned to you.",Course,2022-01-04 09:13 UTC,2022-01-04 09:09 UTC,false,N/A,
Interaction Design: Flow,"Explore ways to create and use flow maps: diagrams of the steps users will complete in an experience. Instructor Diane Cronenwett discusses how flow relates to creating great user experiences and outlines the role of technology in designing flow. She demonstrates how diagrams communicate underlying system logic and conditions to produce an effective user experience. Diane covers the ways designing a flow takes into account various entry points, exits, and conditional states a user might encounter while using a product interface. Plus, learn the steps to crafting effective diagrams to map user flow.",Course,2020-09-10 13:00 UTC,2020-09-10 12:59 UTC,false,N/A,
SAP S/4HANA Essential Training,"This course introduces SAP S/4HANA—an enterprise resource planning (ERP) software—and teaches the essential skills and understanding needed to effectively implement and utilize SAP S/4HANA in business processes. Instructor Justin Valley emphasizes hands-on skills for navigating the system, such as using function keys, shortcuts, and wildcards, along with creating personal lists and customized transaction codes. By the end of the course, you should have a solid grasp of how to run and analyze insightful reports, tailor the software to your business needs, and share results efficiently.",Course,2026-03-11 11:11 UTC,2026-03-11 11:10 UTC,false,N/A,
Unix Essential Training,"Although it was developed in the 1970s, Unix remains an essential skill for anyone working in technology today, and serves as the backbone of many modern technologies like smartphones, streaming services, and supercomputers. In Unix Essential Training, Kevin Skoglund teaches Unix from the ground up, starting with the basics of the command line and the most important Unix commands. Regardless of whether you’re using Mac OS, Windows, or Linux, Kevin helps you unlock the powerful capabilities of Unix by walking you through how to use command-line syntax to perform common tasks such as file management, data entry, and text manipulation. By the end of the course, you’ll have tools that you can immediately apply to your own work.",Course,N/A,N/A,true,N/A,
Revit: Phasing and Design Options (2013),"Phasing in Autodesk Revit allows you to show the complete life cycle of a project, such as a before and after or existing and proposed status, while design options allow you to save multiple iterations of a concept in a single project file. In this course, Paul F. Aubin shows how to use phasing and design options to organize multipart, multifaceted projects in Revit. The course also covers adding and assigning phases to views, scheduling phases and designating future work, working with design option sets, and presenting complex designs to clients.",Course,2020-09-03 11:54 UTC,N/A,false,N/A,
Economics for Business Leaders,"Learn how business leaders and executives use the most important economic data and reports when making strategic decisions. In this course, economics and finance expert Jason Schenker explores over a dozen critical data series and reports to watch closely when making planning, investment, and long-term strategic management decisions. Learn how to read and monitor reports about GDP, inflation, jobs, retail sales, and more. Plus, see how economic changes have short- and long-term impacts on the way you do business. Jason also explains how to track government spending and policies, Fed decisions, and other critical data that leaders use to keep up with changing economic conditions. Armed with the knowledge gained from this course, business leaders will be equipped to discuss how economic data, events, and policies have real-world business implications. This course can also help learners make better business decisions and lead their companies—and careers—in the right direction.",Course,2020-10-16 06:49 UTC,N/A,false,N/A,
Software Design: Developing Effective Requirements,"Getting the requirements right in software development is half the battle. In this course, instructor Neelam Dwivedi delves into the techniques and tools needed to win that battle. Neelam reviews the different types of requirements and how to divide your requirement development process into phases. She covers how to elicit, specify, analyze, and validate product requirements, sharing challenges along the way that help you grasp how these phases work in real-world projects. Plus, she shares techniques for estimating effort for requirements, as well as how to minimize or mitigate project risk by working iteratively on high-risk requirements first.",Course,2020-08-18 09:35 UTC,2020-08-18 09:28 UTC,false,N/A,
SQL Queries Made Easy,"Get up and running with database tables using SQL. This course was designed to help beginners build a strong foundation in SQL queries, and start using common statements to manipulate data within tables. First, instructor Deepa Maddala defines what SQL is and covers some naming conventions that make the code more readable. She goes over the different types of tables used in SQL and introduces you to various datatypes.  Deepa shows you three ways to insert new rows into a table, as well as how to change the values in specific rows or columns, delete duplicate records, and merge rows. She demonstrates how to commit changes and how to revert changes made in the database. Deepa introduces you to data definition language statements by showing you how to create and modify tables, then how to drop, rename, and truncate tables. Deepa concludes by showing you several possible next steps in your learning process.",Course,2021-05-17 18:23 UTC,N/A,false,N/A,
Software Design: Modeling with UML,"Modeling with the Unified Modeling Language (UML)—a visual design language for object-oriented programming—is a critical skill for all team members in a software development project. These models are a cost-effective way for collaborators to analyze, communicate, and document their product's characteristics. In this course, learn how to use UML diagrams to create important artifacts at each stage of the software development life cycle. Instructor Neelam Dwivedi shares best practices and tools as she goes over 13 different types of UML models, explaining what you need to know to develop static and dynamic models of software systems. Plus, review options for using GenAI tools to generate UML diagrams.",Course,2021-05-30 07:46 UTC,2020-06-05 07:30 UTC,false,N/A,
Project Management Foundations (2019),"Project management is a set of techniques that anyone can apply to achieve goals and make projects more successful. Project management can be used to guide small, simple projects as well as complex enterprise-wide initiatives. Bonnie Biafore has always been fascinated by how things work and how to make things work better. In this course, she explains the fundamentals of project management, from establishing project goals and objectives and building a project plan to managing resources and work, meeting deadlines, and closing the project. Along the way, she provides tips for communicating, holding meetings, keeping a project on track, and gaining customer acceptance. This course provides exercises for most videos based on a healthcare/IT case study project.",Course,2020-12-31 10:20 UTC,2020-12-31 10:19 UTC,false,N/A,
Exam Tips: PMI Agile Certified Practitioner (PMI-ACP)®,"By taking and passing the PMI Agile Certified Practitioner (PMI-ACP)® exam, you prove to your current organization—and potential employers—that you have a solid understanding of agile principles and techniques. Earning this certification can expand your career possibilities and set you apart in your field. With so much at stake, taking the time to adequately prepare for the test is crucial. In this course, explore essential topics that can help you as you prepare to take the PMI-ACP® exam. Join agile trainer Kelley O'Connell as she discusses what you need to know before you even start studying for the test—including the eligibility requirements and how to navigate the audit process. Kelley also reviews each of the core knowledge domains covered in the exam, and shares some beneficial resources. Plus, she goes over how to maximize the time available for your test, and what to expect on the day of your exam.<br> <br> PMI, PMP, and the PMI Registered Education Provider logo are registered marks of the Project Management Institute, Inc.",Course,N/A,N/A,true,N/A,
Create a Go-to-Market Plan (2020),"When you launch a new product or enter a new market, it's crucial to have both a roadmap that sets you up for success and the means to track the growth of your program. In this course, discover how to build and develop a go-to-market (GTM) plan for your next product or service. Join renowned marketing author Deirdre Breakenridge as she takes you through the steps needed to bring your product or service to the world. Deirdre helps you discern whether you need a GTM plan, and shows how to build a product strategy that's tailored to the market and customer base you aim to reach. She shares methods for pricing and promotion, and explains how to drive better channel performance, evaluate KPIs and metrics, and more.",Course,2022-10-26 13:19 UTC,2022-10-26 13:18 UTC,false,N/A,
"RPA, AI, and Cognitive Tech for Leaders","A slew of exciting new technologies—from robotic process automation (RPA) to machine learning (ML) to AI agents—have altered the way that companies do business. As a digital-era executive, skating by on a vague understanding of these capabilities is no longer an option. To successfully lead your team in this new world of work, you need to grasp the digital operations landscape, and how you can effectively apply it across your company. In this course, Ian Barkin shows how to filter out the noise, properly set expectations, and prepare your organization for a smooth digital transformation journey.",Course,2020-12-01 14:55 UTC,2019-08-16 05:27 UTC,false,N/A,
Introducing Postman,"Postman is essentially like a graphical cURL. But if you’re only using it as such, then you’re missing out on some of the API development environment’s most interesting and useful features. In this course, instructor Dave Fancher highlights some of this key functionality as he shares how to best leverage Postman to enhance your API development experience. Dave shows how to work with a sample API to compose and authenticate requests, how to view and publish documentation, how to manage environments and variables, and more.",Course,N/A,N/A,true,N/A,
Learning SAP Analytics Cloud,"Enterprises need ways to harness data to improve organizational outcomes, and ultimately to improve the quality of their products and services. SAP Analytics Cloud, part of the SAP Business Intelligence suite, allows you to analyze data from any industry-standard data source to make more data-driven, evidence-based decisions. In this course, you can learn how to use the Analytics Cloud to generate reports and look for data insights that can help your organization. Instructor Joshua Rischin explains how to create and manage data models, build reports and dashboards, and enhance your analysis with the artificial intelligence (AI) and machine learning features in SAP Analytics Cloud. No matter what kind of data you need to analyze—pricing or sales data, custom customer information, or inventory—SAP Analytics Cloud can help you turn your data into clear and actionable insights.",Course,2026-03-10 10:51 UTC,2026-03-10 10:50 UTC,false,N/A,
Design a Cloud Migration Strategy,"The success of your cloud migration is enormously dependent upon how well thought out the strategy is. In this course, instructor Brien Posey takes a vendor-neutral look at the key design considerations that need to go into any migration strategy—whether you're migrating to AWS, Microsoft Azure, Google Cloud, or another platform. Learn how to identify your migration goals, estimate costs, and avoid common mistakes. Explore popular options such as rehosting, replatforming, and SaaS adoption. Find out when it's appropriate to refactor or retire workloads and get tips for implementing your migration plan, complete with considerations for IT pros. Plus, go over migration exit strategies: why have one, how to create one, and how to know when to use it.",Course,2023-02-03 12:01 UTC,N/A,false,N/A,
Business Automation Tips with Microsoft Flow,"Do you find yourself trudging through the same repetitive tasks, day after day? Using Microsoft Flow, you can win back some of your time by creating automated workflows. In this course, digital transformation expert Phil Gold shows how to quickly automate real-world business tasks using Flow. Discover how to integrate workflows between Office 365 applications, such as saving Outlook mail attachments directly into OneNote. Plus, see how to connect Flow to applications outside of the Microsoft ecosystem, including how to save email attachments to Google Drive and sync events from Google to your Outlook calendar.",Course,2020-07-03 09:42 UTC,N/A,false,N/A,
Software Architecture: Patterns for Developers (2020),"As a developer, you're ultimately building software to solve problems for your users. But a successful application also needs to be easy for you and other developers to work with. Enter software architecture patterns. These trusted solutions allow you to translate complex architectural problems to recognizable patterns. In this course, instructor Peter Morlion covers a variety of software architecture patterns, showing you how to apply the correct architecture to new systems and recognize patterns in existing systems. Peter goes over application landscape patterns such as microservices. He also covers application structure patterns like event sourcing, as well as UI patterns like model-view-controller (MVC). Along the way, he shares pros and cons that help you determine which patterns to use.",Course,2021-08-24 13:44 UTC,2021-08-24 13:40 UTC,false,N/A,
JIRA Software: Basic Administration (2017),"JIRA is a project management tool used by over 40,000 companies in the United States alone. There is a large demand for JIRA administrators, but the training and time needed to learn this constantly evolving tool isn't easy to come by. Here, JIRA trainer Robert Anthony covers the basic administration skills and knowledge needed to successfully administer and customize a JIRA instance. Learn how to manage users, roles, and groups; create and configure projects; set up new issue types and schemes; build new workflow schemes from scratch; and manage notifications to your users. The goal of this course is to help a basic JIRA user down the path to successful JIRA administration—mastering the tools as well as the best practices that make a JIRA instance robust and efficient.",Course,2019-03-11 09:25 UTC,N/A,true,N/A,
Developing a Service Mindset,"<p>The individuals and organizations that succeed are the ones who are laser focused on the customer. Even if you're not in a customer-facing role, knowing how your job connects to your customers gives you a better frame for strategic decision-making, and helps you feel more connected to the purpose of your job. This makes you feel more motivated and more fulfilled at work. In this course, Lisa Earle McLeod and Elizabeth McLeod help you connect the dots between your job and customer impact, and they provide strategies and behaviors for keeping your customers top of mind. They explain how to determine where you fit in your customer's world, and how to keep the focus on the customer when you talk about wins, goals, and mistakes. They also share strategies for sustaining your service mindset-even when your organization isn't particularly customer focused. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/customer-success-foundations-professional-certificate-by-churnzero"" target=""_blank"">Professional Certificate</a> from ChurnZero.</p>",Course,2018-07-27 05:35 UTC,N/A,false,N/A,
Change Management: Roadmap to Planning,"<p>Your project success depends on your ability to plan and manage change. Instructor Christina Charenkova takes you through practical examples of how to create change plans for transformation projects, irrespective of the project or change methodology. Christina explains how to make it easy for people to change, then shows you how to plan a change management effort using techniques such as building a case for change, stakeholder analysis, change impact assessment, communications plan, and change alignment. To help you put your new skills to the test, she includes a challenge inviting you to apply a technique to craft a case for change and interpret the change information shared in a case study. Christina then steps through developing a change management plan that takes impacted stakeholders from their current state to the future ways of working. She concludes by offering you some resources and other materials linked to change management. </p><p>Note: This course was created by Christina Charenkova. We are pleased to host this training in our library. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/change-management-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2022-01-12 15:34 UTC,2022-01-12 15:31 UTC,false,N/A,
Business Intelligence for Consultants,"Business intelligence (BI) can provide key insights for your consulting business—leveraging the power of quantitative and qualitative data and giving you the actionable information you need to help clients make business decisions. This course explains what business intelligence is, why it's important, and how consultants can tap into business intelligence when delivering outcomes for clients. Instructor Joshua Rischin has been a consultant to over 40 organizations. Here he shares techniques and examples from his career with you. Learn how to profile the client's business, gather high-quality and relevant data, and present your insights and recommendations to clients with detailed visualizations and reports.",Course,2020-05-19 05:10 UTC,2020-05-19 05:07 UTC,false,N/A,
Oracle 12c Release 2 New Features & The Oracle Cloud,"Oracle 12c Release 2 introduced new features for improved performance, high availability, development, and more. Also, Oracle 12c Release 2 was the first Oracle database that was launched as a cloud-first database powered by the Oracle Cloud platform. In this course, explore some of the most interesting new features, and learn what you need to know to create and connect to a database in the Oracle Cloud. David Yahalom shows how to register for an Oracle Cloud account, and create new databases using the user interfaces. He also provides hands-on demos of some of the most exciting new features available exclusively in Oracle 12c Release 2, including new features for pluggable databases (PDBs) and partition management.",Course,2019-07-13 17:23 UTC,2019-07-13 17:17 UTC,false,N/A,
Change Management: Plan on a Page,"<p>Developing a change plan is one of the pinnacles of a change management effort. The process is often seen as a lengthy and time-consuming experience. How can you consolidate all the effort and requirements down to one page containing all the necessary details of your change plan? Change expert Christina Charenkova introduces you to the process of creating your change plan on a page. She guides you through what information to include, and how you can use the change plan when it is complete. Christina shows you how to iterate and refine your plan on a page, so that your change plan remains relevant and efficient, by incorporating regular checkpoints in the overall project timeline. She concludes by sharing with you change plan on a page templates and some other resources to ease your change management journey.
</p><p>
Note: This course was created by Christina Charenkova. We are pleased to host this training in our library.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/change-management-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,N/A,N/A,true,N/A,
Building Change Capability for Managers,"Change isn't automatically adopted and sustained. It takes a concerted effort to achieve the expected benefits. As a manager, it's your role to make change lasting and successful. This course explains the roles and responsibilities of managers in delivering and embedding successful change in a corporate landscape. Discover the skills you need hone as a leader of change, from creative thinking to influencing and engaging others. Find how to effectively plan for change and ensure business continuity by collaborating with individual project managers. Then learn how to manage people during the change, including dealing with resistance and providing emotional support and motivation. Instructor Claudine Peet also helps you define and adjust performance targets and reinforce change throughout the transition. By the end of the course, you should have the skills and knowledge you need to create a legacy of long-lasting, positive change at your organization.",Course,N/A,N/A,true,N/A,
Ubuntu Linux: Operating System Basics,"<p>In this course, you’ll get a basic understanding of the Linux operating system. Instructor Scott Simpson helps to familiarize you with the basics of operating a system running Ubuntu. Scott explains how to manage the startup process, update the kernel, install software from source code, use AppArmor to confine software into limited access spaces, and examine resource utilization. He also goes into scheduling and verifying tasks, configuration management and automation, and incident management. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/ubuntu-linux-professional-certificate-by-canonical"" target=""_blank"">Professional Certificate</a> from Canonical.</p>",Course,2019-04-15 05:24 UTC,N/A,false,N/A,
Consulting Foundations: Building Your Sales System,"One of the most challenging parts of being a consultant is you're in business for yourself. So, when it comes to making sales, you're in the driver's seat. That's why you need a sales system that's easy to implement, and more importantly, one that will help you use your natural consulting talents to fill your sales funnel.</br></br>

In this course, sales strategist and instructor Meridith Elliott Powell spells out how to create and implement a strong sales system that helps you grow your consulting practice. Discover how to design a sales conversation, create a compelling value proposition, identify and respond to objections, and more.",Course,2020-06-05 09:13 UTC,2020-06-05 09:09 UTC,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:728375,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:728375,Course,2023-05-26 09:31 UTC,2023-05-26 09:27 UTC,false,N/A,
"Business Analytics Foundations: Predictive, Prescriptive, and Experimental Analytics","Business analytics encompasses a set of tools, technologies, processes, and best practices that are required to derive knowledge from data. It's an iterative and methodical exploration of data to derive insights from it—and, in turn, make smarter, more strategic decisions that are grounded in facts. In this course, learn about the stages in business analytics that are used to predict and build the future—predictive analytics, prescriptive analytics, and experimental analytics. This course dives into each stage, discussing the tools and techniques used for each, as well as best practices leveraged in the field. In addition, the course lends a real-world context to these concepts by using a use case to demonstrate how to execute analytics in each stage.",Course,N/A,N/A,true,N/A,
Software Design: Code and Design Smells,"Ever wonder if your freshly written code is as effective and understandable as you'd like it to be? In this course, learn how to identify and deal with code and design smells: code that, while functional, has weak points that may result in bugs or other issues down the line. Instructor Harrison Ferrone goes over the history of code smells and how they impact the modern development workflow. He steps through how to catch low- or method-level bad habits in code, as well as how to keep your overarching system code clean, identify and update bad abstractions, and more. Plus, see how to leverage tools to weed out the bad code you encounter.",Course,2021-09-17 15:20 UTC,2021-09-17 15:18 UTC,false,N/A,
"Digital Technologies Case Studies: AI, IOT, Robotics, Blockchain","Emerging technologies are upending business models at a dramatic pace. It's critical for every professional to understand the core features of these technologies and how they are reshaping the structure of industries and the strategy of companies. Recognize the four key technologies at play— artificial intelligence, Internet of Things, robotics, and blockchain—and review cases studies showing how different industries have embraced these innovations to succeed and win. Instructors Anil Gupta and Haiyan Wang provide a high-level overview aimed at senior leaders and executives who want to incorporate emerging tech into their digital strategy.",Course,2020-08-09 05:19 UTC,N/A,false,N/A,
PowerPoint: Creating an Infographic (2018),"You don't need to use fancy tools to create an infographic. With PowerPoint, you can create a visually interesting and compelling infographic quickly and easily. Follow along with PowerPoint MVP Heather Ackmann as she walks you through the process. Heather begins by showing how to track down the right elements for your infographic, including how to import Illustrator graphics. Next, she shares how to design and create your own scalable shapes and custom graphics within PowerPoint, work with PowerPoint icons, and add and format text boxes and charts. Finally, Heather steps through how to adjust your infographic and export it for a variety of different outputs.",Course,2019-06-30 14:13 UTC,2019-06-30 14:06 UTC,false,N/A,
Intro to Service Management with ITIL® 4,"The ITIL® framework was designed to help all organizations, regardless of their industry or business sector, provide IT services using the most efficient and economical methods. This course was designed to introduce you to the concepts of service management and the ITIL® 4 framework to help you determine if studying for the ITIL® 4 Foundation certification is right for you. Instead of providing an in-depth look at each of the exam objectives, instructor Jason Dion provides a high-level overview of the ITIL® concepts and practices. If you continue onwards and obtain your certification, you can show employers that you understand the key elements, concepts, and terminology used in ITIL, including how operations move between each activity and process to create value in the service value system, and their overall contribution to the service management best practices.<br><br>This course was created by Dion Training, an Accredited Training Organization for ITIL® by PeopleCert on behalf of Axelos. ITIL® and the Swirl logo are registered trademarks of AXELOS Limited, used under license of AXELOS Limited. All rights reserved. We are pleased to offer this training in our library.",Course,2022-03-09 14:53 UTC,2022-03-09 14:36 UTC,false,N/A,
SSL/TLS for Beginners: Securing Network Communications (2019),"Secure Sockets Layer (SSL) and the succeeding Transport Layer Security (TLS) provide the backbone of securing intranet and internet network communications through encryption and authentication. SSL and TLS standards are widely used to secure network communications for services such as websites, VoIP, VPNs, and email messages. In this course, learn the skills you need to plan, implement, and maintain a public key infrastructure (PKI) ecosystem that supports SSL/TLS security certificates. Instructor Daniel Lachance dives into how to install and configure PKI solutions in both Windows and Linux. Learn about how certificates are issued and managed throughout their lifetime; how hashing provides integrity and digital signatures provide authentication; and more.",Course,2023-09-07 14:53 UTC,N/A,false,N/A,
Getting Things Done,"<p>Join world-renowned productivity and time management expert David Allen as he walks you through his five-step process for Getting Things Done®. He shows you how to stay on top of your work and avoid feeling buried by it, while carving out space in your life to do more meaningful things. Learn how to capture, clarify, organize, reflect, and engage with tasks that are demanding your attention, and come away with a clear head and a clear focus.</p><p>Getting Things Done® is a registered trademark of the David Allen Company.</p>",Course,2019-05-08 10:51 UTC,2019-05-08 10:49 UTC,false,N/A,
Vlogging for Business,"Many individuals and companies are now creating ongoing vlogs, which are video blogs offering educational or informational content that increases brand awareness and helps the vlogger connect to a potentially growing audience. While certain vlogs focus on a person's daily or weekly life, there are many vlogs that focus on a specific area, such as filmmaking, graphic design, or technology. Rather than vlogging to attract a high volume of subscribers, instead you can aspire to establish a clear, consistent voice and deliver valuable content as a vlogger. This can be accomplished with planning and a technical and creative understanding of what it takes to produce a vlog.<br><br>

In this course, Jem Schofield of theC47 breaks down the planning, production, post production, equipment, and distribution of an ongoing vlog for your company, business, or creative endeavor. Jem explains how to select the right subject matter, pick a vlogging camera, and shoot your vlog. Plus, he goes over helpful post production and delivery strategies, including editing and integrating branding assets. Jem shows all of this by walking through the process with a business owner, Steven Soria of Make Smith Leather Company.",Course,N/A,N/A,true,N/A,
Introduction to NFTs: Non-fungible Tokens,"NFTs (non-fungible tokens) enable people to sell digital items like music, art, photos, and more. Creators are interested in NFTs as a way to protect and monetize their original work—and collectors are buying. The NFT model will have a dramatic effect on how people think about valuating non-tangible goods. However, there are critics who say they are a temporary, overblown fad. This course explains exactly what NFTs are—including their basis in blockchain—and how you can create your own NFTs using a cryptocurrency platform like Ethereum. Instructor Jonathan Reichental also reviews the criticisms of NFTs so you can understand the challenges of this emerging technology. Plus, learn how NFTs are poised to disrupt other industries: by preventing counterfeiting, verifying certifications, innovating financial services, and more.",Course,2022-01-19 12:50 UTC,2022-01-19 12:45 UTC,false,N/A,
Social Media Marketing Foundations (2017),"Social media dramatically altered marketing by allowing businesses to engage with their customers, rather than just talk to them. In this course, discover how to leverage social media in your overall marketing strategy, and learn best practices for leading social media campaigns that help you successfully connect with consumers. Brian Honigman provides an overview of social media marketing, explaining why making an investment in social media can benefit your business. He shows how to define your audience and craft a social media strategy focused on your organization's leading goals. Plus, he covers how to work with leading social networks such as Facebook, Instagram, and Snapchat, as well as how to drive results with paid ads, and use goals and metrics to measure your success.",Course,2019-03-21 12:11 UTC,2019-03-20 16:14 UTC,false,N/A,
Cryptocurrency Foundations (2018),"The digital revolution has impacted almost every aspect of our lives, including the way money is made, stored, and used. Cryptocurrency is the latest trend. It is a completely decentralized form of digital money, that is created and exchanged without the intervention of traditional financial institutions. Bitcoin, the most popular form, is on its way to becoming a legitimate global currency. This short course is for anyone who wants to understand the basics of how cryptocurrencies are created, traded, and mined. Dr. Jonathan Reichental reviews the underlying technology—blockchain databases, hashing, and cryptography—and explains how anyone can create a form of cryptocurrency and offer it for use. He also discusses the process of mining and the hardware and software needed to become a cryptocurrency miner.",Course,2020-07-13 13:07 UTC,2020-07-13 12:19 UTC,false,N/A,
Project Management Foundations: Schedules,"<p>Discover how to build project schedules that help you accomplish your project goals on time and within budget—while being flexible enough to accommodate change. In this course, trainer and PMP Bonnie Biafore teaches you how to proactively manage project schedules. Learn how to develop a plan for schedule management; identify activities and milestones; estimate costs; allocate and negotiate for resources; and manage the schedule over time. Bonnie introduces techniques to uncover and resolve schedule conflicts, shorten timeframes, and reduce costs. By the end of the course, you'll have learned the skills you need to meet stakeholder expectations and adapt to changes as they arise over the life of the project.<br><br>Note: This course aligns with best practices from <i>A Guide to the Project Management Body of Knowledge, (PMBOK® Guide) - Sixth Edition</i>, published by the Project Management Institute®.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-project-management-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2019-03-27 18:56 UTC,2019-03-27 07:17 UTC,false,N/A,
Influencing Others (2019),"<p>Ever had trouble persuading someone to do something, even if it was in their best interest? Sometimes people don't budge, but thankfully you have more than rewards and penalties at your disposal. Join John Ullmen, PhD, as he explains how to influence others when you're at the ""pivot point of influence,"" by applying 18 scientifically confirmed methods. Whether you're influencing at work or at home, you can learn what the best influencers do before they influence, and see how to choose the best steps for your situation, and have people want to be influenced by you. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/essential-business-communication-skills-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2020-12-02 11:02 UTC,2020-11-04 18:19 UTC,false,N/A,
Landscape Photography: Winter,"Learn to make the most of winter's stark landscapes with this collection of tips and strategies for wintertime landscape photography. Justin Reznick explains where to find great winter scenes, and how to photograph snow, the northern lights, and winter wildlife. He also provides tips for staying warm and dry, keeping your gear in tip-top shape, and making your photos look even better in post.",Course,2019-06-12 14:13 UTC,N/A,false,N/A,
Project Management Foundations: Small Projects,"Learn how to efficiently manage small projects for great results. In this newly updated course, instructor and project manager Bonnie Biafore shows how to manage smaller scale projects with a simpler yet effective approach. She defines what ""small"" means in the context of project management and provides an overview of the life cycle of a small project, sharing the best techniques for planning, getting things done, tracking progress, and wrapping up.<br><br>Along the way, Bonnie shares the top 10 things you should know about small projects; special considerations for freelancers; best practices for estimating time and costs; objective measures for assessing quality; smart ways to identify risk; and meaningful ways to close a project. Use these tips to make your next small project a success.<br><br>Note: This course aligns with best practices from <i>A Guide to the Project Management Body of Knowledge, (PMBOK® Guide) - Sixth Edition</i>, published by the Project Management Institute®.",Course,2019-04-07 15:22 UTC,N/A,true,N/A,
Installing and Administering Atlassian Confluence,"Confluence is an enterprise wiki used by more than 13,000 companies around the globe for helping development teams to collaborate and centralize their knowledge base. In this course, Sandy Toner introduces administrators to the key tasks involved in installing and administering Confluence, including configuring settings and preferences through the Setup Wizard, creating client- or project-centered spaces, and working with content using Confluence's built-in editor. Learn to use community and social features like page sharing and comments, cut your time in half with power-user shortcuts, and back up and restore your Confluence site in case of an emergency.",Course,N/A,N/A,true,N/A,
Agile Software Development: Code Quality,"Code quality is important to every developer. Poorly written software can cost you customers, time, and money. This course introduces best practices and tools for writing high-quality code, so you can deliver better products, get updates to market faster, and reduce your overall technical debt. Instructor Scott Ford introduces platform-agnostic tools that will help improve any software project. Learn how to reduce complexity with CodeClimate, analyze hotspots and churn with CodeScene, ensure adequate code coverage with NDepend, and reduce duplication with SonarQube. Plus, find out how to use Snyk to secure dependencies and build a more consistent coding style with HoundCI. By the end, you’ll have the tools and skills you need to create cleaner code—and programs that are easier to debug, run, and maintain.",Course,2021-11-02 15:17 UTC,2021-11-02 15:11 UTC,false,N/A,
Repairing Your Reputation,"We've all made mistakes. But a bad reputation can damage your career. Whether it's from a public faux pas, legal troubles, sabotage, or rumors, the damage can have long-lasting effects on your ability to work. Take control of the situation and learn how to repair a negative reputation. Get a three-step process to evaluate the damage, create a plan, and respond with focus. These techniques are ones that Lida Citroën uses at her reputation management firm, LIDA360, to help her own clients bounce back from bad press and regain their good name.",Course,2019-05-10 04:26 UTC,2019-05-10 04:23 UTC,false,N/A,
